label_id,source,source_product_name,source_product_id,source_label_url
130,JP,"アレンドロン酸錠35mg「TCK」 (後発品)",00060946,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060946
131,JP,"テラムロ配合錠AP「NIG」 (後発品)
テラムロ配合錠BP「NIG」 (後発品)",00070373,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070373
132,JP,"デルモゾールDP軟膏0.064％ (後発品)
デルモゾールDPクリーム0.064％ (後発品)",00070786,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070786
133,JP,"パロキセチン錠5mg「AA」 (後発品)
パロキセチン錠10mg「AA」 (後発品)
パロキセチン錠20mg「AA」 (後発品)",00060381,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060381
134,JP,"モルヒネ硫酸塩水和物徐放細粒分包10mg「フジモト」 (後発品)
モルヒネ硫酸塩水和物徐放細粒分包30mg「フジモト」 (後発品)",00069141,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00069141
135,JP,"イマチニブ錠100mg「NK」 (後発品)",00062266,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062266
136,JP,"フルチカゾンプロピオン酸エステル点鼻液50μg「日医工」28噴霧用 (後発品)
フルチカゾンプロピオン酸エステル点鼻液50μg「日医工」56噴霧用 (後発品)",00067740,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067740
137,JP,"アサコール錠400mg",00058192,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00058192
138,JP,"アロプリノール錠50mg「タカタ」
アロプリノール錠100mg「タカタ」 (後発品)",00060938,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060938
139,JP,"メロキシカム錠5mg「トーワ」 (後発品)
メロキシカム錠10mg「トーワ」 (後発品)",00055183,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00055183
140,JP,"パーロデル錠2.5mg",00056142,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00056142
141,JP,"ツルドパミ点滴静注200mg (後発品)",00071260,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00071260
142,JP,"エスカゾール錠200mg",00054362,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00054362
143,JP,"ファモチジンOD錠10mg「テバ」 (後発品)
ファモチジンOD錠20mg「テバ」 (後発品)",00061943,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00061943
144,JP,"ラタノプロスト点眼液0.005％「トーワ」 (後発品)",00058618,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00058618
145,JP,"クエチアピン錠25mg「VTRS」 (後発品)
クエチアピン錠100mg「VTRS」 (後発品)
クエチアピン錠200mg「VTRS」 (後発品)",00070403,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070403
146,JP,"ステリクロンR液0.5",00066332,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066332
147,JP,"ビカルタミド錠80mg「トーワ」 (後発品)
ビカルタミドOD錠80mg「トーワ」 (後発品)",00071094,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00071094
148,JP,"ハロペリドール細粒1％「タカタ」 (後発品)
ハロペリドール錠1mg「タカタ」 (後発品)
ハロペリドール錠2mg「タカタ」 (後発品)",00067777,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067777
149,JP,"アセチルシステイン内用液17.6％「あゆみ」",00066031,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066031
150,JP,"リセドロン酸ナトリウム錠2.5mg「ケミファ」 (後発品)",00059935,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00059935
151,JP,"クロピドグレル錠25mg「日新」 (後発品)
クロピドグレル錠75mg「日新」 (後発品)",00065311,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065311
152,JP,"イコサペント酸エチル粒状カプセル300mg「日医工」 (後発品)
イコサペント酸エチル粒状カプセル600mg「日医工」 (後発品)
イコサペント酸エチル粒状カプセル900mg「日医工」 (後発品)",00055208,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00055208
153,JP,"モンテルカスト錠5mg「サワイ」 (後発品)
モンテルカスト錠10mg「サワイ」 (後発品)
モンテルカストOD錠5mg「サワイ」 (後発品)
モンテルカストOD錠10mg「サワイ」 (後発品)",00071198,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00071198
154,JP,"ロサルタンカリウム錠25mg「TCK」 (後発品)
ロサルタンカリウム錠50mg「TCK」 (後発品)
ロサルタンカリウム錠100mg「TCK」 (後発品)",00060516,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060516
155,JP,"塩化カリウム「ヤマゼン」",00013238,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00013238
156,JP,"トプシムローション0.05％",00054913,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00054913
157,JP,"セルトラリン錠25mg「ケミファ」 (後発品)
セルトラリン錠50mg「ケミファ」 (後発品)
セルトラリン錠100mg「ケミファ」 (後発品)",00066353,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066353
158,JP,"アルプロスタジル注10μg「NIG」 (後発品)",00070716,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070716
159,JP,"エゼチミブ錠10mg「武田テバ」 (後発品)",00068616,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068616
160,JP,"エナラプリルマレイン酸塩錠2.5mg「トーワ」 (後発品)
エナラプリルマレイン酸塩錠5mg「トーワ」 (後発品)
エナラプリルマレイン酸塩錠10mg「トーワ」 (後発品)",00061435,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00061435
161,JP,"ミルタザピン錠15mg「共創未来」 (後発品)
ミルタザピン錠30mg「共創未来」 (後発品)",00067736,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067736
162,JP,"レボセチリジン塩酸塩錠2.5mg「杏林」 (後発品)
レボセチリジン塩酸塩錠5mg「杏林」 (後発品)",00068580,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068580
